SeqNo;Date;Loc Time;TempVAT;TempCabine;Cond;Ip;In;I1+;I1-;I2+;I2-;I3+;I3-;I4+;I4-;I5+;I5-;I6+;I6-;I7+;I7-;I8+;I8-;Carga
718;05/05/2022;16:11:08.190;3,20E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14833
719;05/05/2022;16:11:09.182;3,20E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14833
720;05/05/2022;16:11:10.158;3,20E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
721;05/05/2022;16:11:11.177;3,20E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
722;05/05/2022;16:11:12.188;3,21E+07;2,26E+07;2,57E+08;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
723;05/05/2022;16:11:13.188;3,23E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
724;05/05/2022;16:11:14.164;3,24E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
725;05/05/2022;16:11:15.166;3,25E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
726;05/05/2022;16:11:16.174;3,25E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
727;05/05/2022;16:11:17.187;3,26E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
728;05/05/2022;16:11:18.156;3,27E+07;2,26E+07;2,57E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
729;05/05/2022;16:12:09.167;3,20E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
730;05/05/2022;16:12:10.186;3,20E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14835
731;05/05/2022;16:12:11.251;3,20E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
732;05/05/2022;16:12:12.186;3,21E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
733;05/05/2022;16:12:13.156;3,22E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
734;05/05/2022;16:12:14.180;3,23E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
735;05/05/2022;16:12:15.179;3,24E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
736;05/05/2022;16:12:16.180;3,25E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
737;05/05/2022;16:12:17.159;3,25E+07;2,24E+07;2,54E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
738;05/05/2022;16:12:18.160;3,26E+07;2,24E+07;2,54E+08;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
739;05/05/2022;16:12:19.200;3,27E+07;2,24E+07;2,54E+08;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
740;05/05/2022;16:13:10.177;3,20E+07;2,25E+07;2,53E+08;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
741;05/05/2022;16:13:11.186;3,20E+07;2,25E+07;2,53E+08;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14837
742;05/05/2022;16:13:12.170;3,20E+07;2,25E+07;2,53E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14839
743;05/05/2022;16:13:13.174;3,20E+07;2,25E+07;2,53E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14839
744;05/05/2022;16:13:14.196;3,21E+07;2,25E+07;2,53E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14839
745;05/05/2022;16:13:15.175;3,22E+07;2,25E+07;2,53E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14839
746;05/05/2022;16:13:16.282;3,23E+07;2,25E+07;2,53E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14839
747;05/05/2022;16:13:17.266;3,24E+07;2,25E+07;2,53E+08;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14839
